iter	Passed	Remaining
708	2371	973
709	2373	969
710	2376	965
711	2378	962
712	2380	958
713	2382	954
714	2385	951
715	2388	947
716	2390	943
717	2393	940
718	2396	936
719	2398	932
720	2400	929
721	2403	925
722	2406	921
723	2409	918
724	2411	914
725	2414	911
726	2416	907
727	2419	903
728	2421	900
729	2424	896
730	2426	892
731	2429	889
732	2431	885
733	2435	882
734	2438	879
735	2440	875
736	2442	871
737	2445	868
738	2447	864
739	2451	861
740	2453	857
741	2456	854
742	2458	850
743	2461	846
744	2463	843
745	2466	839
746	2469	836
747	2471	832
748	2474	829
749	2476	825
750	2479	822
751	2482	818
752	2485	815
753	2487	811
754	2490	808
755	2492	804
756	2495	800
757	2498	797
758	2500	794
759	2503	790
760	2505	786
761	2507	783
762	2509	779
763	2512	776
764	2515	772
765	2518	769
766	2520	765
767	2523	762
768	2525	758
769	2528	755
770	2531	751
771	2533	748
772	2536	745
773	2539	741
774	2541	737
775	2544	734
776	2547	731
777	2550	727
778	2553	724
779	2555	720
780	2558	717
781	2560	713
782	2563	710
783	2566	707
784	2569	703
785	2571	700
786	2573	696
787	2576	693
788	2579	689
789	2581	686
790	2583	682
791	2585	679
792	2588	675
793	2590	672
794	2593	668
795	2595	665
796	2597	661
797	2600	658
798	2602	654
799	2604	651
800	2607	647
801	2609	644
802	2612	640
803	2614	637
804	2617	633
805	2631	633
806	2634	630
807	2636	626
808	2639	623
809	2641	619
810	2643	616
811	2646	612
812	2648	609
813	2651	605
814	2654	602
815	2656	599
816	2658	595
817	2661	592
818	2663	588
819	2666	585
820	2669	581
821	2671	578
822	2674	575
823	2677	571
824	2679	568
825	2682	565
826	2685	561
827	2687	558
828	2690	554
829	2692	551
830	2695	548
831	2698	544
832	2701	541
833	2704	538
834	2706	534
835	2709	531
836	2712	528
837	2714	524
838	2717	521
839	2719	518
840	2723	514
841	2727	511
842	2731	508
843	2734	505
844	2740	502
845	2745	499
846	2748	496
847	2751	493
848	2754	489
849	2757	486
850	2760	483
851	2762	479
852	2765	476
853	2767	473
854	2771	470
855	2774	466
856	2776	463
857	2779	460
858	2783	456
859	2787	453
860	2790	450
861	2792	447
862	2795	443
863	2797	440
864	2799	436
865	2803	433
866	2805	430
867	2808	427
868	2810	423
869	2812	420
870	2815	416
871	2818	413
872	2821	410
873	2823	407
874	2825	403
875	2828	400
876	2830	397
877	2833	393
878	2836	390
879	2839	387
880	2842	383
881	2845	380
882	2847	377
883	2850	374
884	2853	370
885	2855	367
886	2857	364
887	2860	360
888	2862	357
889	2865	354
890	2867	350
891	2870	347
892	2872	344
893	2875	340
894	2877	337
895	2879	334
896	2882	331
897	2885	327
898	2888	324
899	2890	321
900	2892	317
901	2895	314
902	2898	311
903	2900	308
904	2903	304
905	2905	301
906	2907	298
907	2910	294
908	2912	291
909	2915	288
910	2918	285
911	2920	281
912	2923	278
913	2925	275
914	2927	271
915	2930	268
916	2933	265
917	2936	262
918	2938	258
919	2940	255
920	2943	252
921	2945	249
922	2948	245
923	2951	242
924	2954	239
925	2957	236
926	2959	233
927	2962	229
928	2965	226
929	2967	223
930	2970	220
931	2974	216
932	2976	213
933	2979	210
934	2982	207
935	2985	204
936	2987	200
937	2989	197
938	2992	194
939	2995	191
940	2997	187
941	3000	184
942	3002	181
943	3004	178
944	3006	174
945	3009	171
946	3012	168
947	3014	165
948	3017	162
949	3019	158
950	3021	155
951	3024	152
952	3027	149
953	3029	146
954	3032	142
955	3034	139
956	3036	136
957	3039	133
958	3043	130
959	3046	126
960	3049	123
961	3051	120
962	3053	117
963	3056	114
964	3059	110
965	3061	107
966	3063	104
967	3066	101
968	3068	98
969	3071	94
970	3074	91
971	3077	88
972	3079	85
973	3081	82
974	3084	79
975	3086	75
976	3089	72
977	3092	69
978	3094	66
979	3096	63
980	3099	60
981	3101	56
982	3104	53
983	3107	50
984	3109	47
985	3112	44
986	3115	41
987	3117	37
988	3119	34
989	3122	31
990	3124	28
991	3126	25
992	3129	22
993	3132	18
994	3134	15
995	3136	12
996	3139	9
997	3141	6
998	3144	3
999	3146	0
